Day,snap_shot,location,location_abbr,cases,Source
2022-07-05,2022-07-05 23:50:58,Arkansas,AR,1,CDC
2022-07-05,2022-07-05 23:50:58,California,CA,111,CDC
2022-07-05,2022-07-05 23:50:58,Colorado,CO,7,CDC
2022-07-05,2022-07-05 23:50:58,Connecticut,CT,1,CDC
2022-07-05,2022-07-05 23:50:58,District of Columbia,DC,53,CDC
2022-07-05,2022-07-05 23:50:58,Florida,FL,64,CDC
2022-07-05,2022-07-05 23:50:58,Georgia,GA,13,CDC
2022-07-05,2022-07-05 23:50:58,Hawaii,HI,6,CDC
2022-07-05,2022-07-05 23:50:58,Illinois,IL,62,CDC
2022-07-05,2022-07-05 23:50:58,Indiana,IN,5,CDC
2022-07-05,2022-07-05 23:50:58,Iowa,IA,1,CDC
2022-07-05,2022-07-05 23:50:58,Kentucky,KY,2,CDC
2022-07-05,2022-07-05 23:50:58,Maryland,MD,9,CDC
2022-07-05,2022-07-05 23:50:58,Massachusetts,MA,29,CDC
2022-07-05,2022-07-05 23:50:58,Michigan,MI,1,CDC
2022-07-05,2022-07-05 23:50:58,Minnesota,MN,6,CDC
2022-07-05,2022-07-05 23:50:58,Missouri,MO,3,CDC
2022-07-05,2022-07-05 23:50:58,Nebraska,NE,1,CDC
2022-07-05,2022-07-05 23:50:58,Nevada,NV,2,CDC
2022-07-05,2022-07-05 23:50:58,New Hampshire,NH,1,CDC
2022-07-05,2022-07-05 23:50:58,New Jersey,NJ,7,CDC
2022-07-05,2022-07-05 23:50:58,New York,NY,96,CDC
2022-07-05,2022-07-05 23:50:58,North Carolina,NC,2,CDC
2022-07-05,2022-07-05 23:50:58,Ohio,OH,3,CDC
2022-07-05,2022-07-05 23:50:58,Oklahoma,OK,2,CDC
2022-07-05,2022-07-05 23:50:58,Oregon,OR,3,CDC
2022-07-05,2022-07-05 23:50:58,Pennsylvania,PA,17,CDC
2022-07-05,2022-07-05 23:50:58,Puerto Rico,PR,1,CDC
2022-07-05,2022-07-05 23:50:58,Rhode Island,RI,1,CDC
2022-07-05,2022-07-05 23:50:58,Texas,TX,20,CDC
2022-07-05,2022-07-05 23:50:58,Utah,UT,5,CDC
2022-07-05,2022-07-05 23:50:58,Virginia,VA,13,CDC
2022-07-05,2022-07-05 23:50:58,Washington,WA,7,CDC
2022-07-05,2022-07-05 23:50:58,Wisconsin,WI,1,CDC
2022-07-05,2022-07-05 23:50:58,Non U.S. resident in the U.S.,Non U.S. resident in the U.S.,3,CDC
2022-07-06,2022-07-06 23:53:22,Arizona,AZ,1,CDC
2022-07-06,2022-07-06 23:53:22,Arkansas,AR,1,CDC
2022-07-06,2022-07-06 23:53:22,California,CA,111,CDC
2022-07-06,2022-07-06 23:53:22,Colorado,CO,7,CDC
2022-07-06,2022-07-06 23:53:22,Connecticut,CT,1,CDC
2022-07-06,2022-07-06 23:53:22,District of Columbia,DC,53,CDC
