time_stamp,snap_shot,State,Abbr,Cases,Range
2022-06-27,2022-06-27 23 55 23,Oregon,OR,1,1 to 2
2022-06-27,2022-06-27 23 55 23,Pennsylvania,PA,4,1 to 2
2022-06-27,2022-06-27 23 55 23,Rhode Island,RI,1,1 to 2
2022-06-27,2022-06-27 23 55 23,Texas,TX,7,1 to 2
2022-06-27,2022-06-27 23 55 23,Utah,UT,4,1 to 2
2022-06-27,2022-06-27 23 55 23,Virginia,VA,3,1 to 2
2022-06-27,2022-06-27 23 55 23,Washington,WA,6,1 to 2
2022-06-27,2022-06-27 23 55 23,Non U.S. resident in the U.S.,Non U.S. resident in the U.S.,2,1 to 2
2022-06-17,2022-06-19 23 21 03,Arizona,AZ,1,1 to 2
2022-06-17,2022-06-19 23 21 03,California,CA,24,1 to 2
2022-06-17,2022-06-19 23 21 03,Colorado,CO,5,1 to 2
2022-06-17,2022-06-19 23 21 03,District of Columbia,DC,4,1 to 2
2022-06-17,2022-06-19 23 21 03,Florida,FL,10,1 to 2
2022-06-17,2022-06-19 23 21 03,Georgia,GA,3,1 to 2
2022-06-17,2022-06-19 23 21 03,Hawaii,HI,5,1 to 2
2022-06-17,2022-06-19 23 21 03,Illinois,IL,15,1 to 2
2022-06-17,2022-06-19 23 21 03,Massachusetts,MA,7,1 to 2
2022-06-17,2022-06-19 23 21 03,Maryland,MD,1,1 to 2
2022-06-17,2022-06-19 23 21 03,Nevada,NV,1,1 to 2
2022-06-17,2022-06-19 23 21 03,New York,NY,21,1 to 2
2022-06-17,2022-06-19 23 21 03,Ohio,OH,1,1 to 2
2022-06-17,2022-06-19 23 21 03,Oklahoma,OK,2,1 to 2
2022-06-17,2022-06-19 23 21 03,Oregon,OR,1,1 to 2
2022-06-17,2022-06-19 23 21 03,Pennsylvania,PA,2,1 to 2
2022-06-17,2022-06-19 23 21 03,Rhode Island,RI,1,1 to 2
2022-06-17,2022-06-19 23 21 03,Texas,TX,2,1 to 2
2022-06-17,2022-06-19 23 21 03,Utah,UT,2,1 to 2
2022-06-17,2022-06-19 23 21 03,Virginia,VA,1,1 to 2
2022-06-17,2022-06-19 23 21 03,Washington,WA,2,1 to 2
2022-06-17,2022-06-19 23 21 03,Non U.S. resident in the U.S.,Non U.S. resident in the U.S.,2,1 to 2
2022-07-25,2022-07-25 23 17 12,Alabama,AL,5,1 to 2
2022-07-25,2022-07-25 23 17 12,Arizona,AZ,35,1 to 2
2022-07-25,2022-07-25 23 17 12,Arkansas,AR,4,1 to 2
2022-07-25,2022-07-25 23 17 12,California,CA,356,1 to 2
2022-07-25,2022-07-25 23 17 12,Colorado,CO,53,1 to 2
2022-07-25,2022-07-25 23 17 12,Connecticut,CT,22,1 to 2
2022-07-25,2022-07-25 23 17 12,Delaware,DE,3,1 to 2
2022-07-25,2022-07-25 23 17 12,District of Columbia,DC,139,1 to 2
2022-07-25,2022-07-25 23 17 12,Florida,FL,273,1 to 2
2022-07-25,2022-07-25 23 17 12,Georgia,GA,268,1 to 2
2022-07-25,2022-07-25 23 17 12,Hawaii,HI,10,1 to 2
2022-07-25,2022-07-25 23 17 12,Idaho,ID,2,1 to 2
2022-07-25,2022-07-25 23 17 12,Illinois,IL,344,1 to 2
2022-07-25,2022-07-25 23 17 12,Indiana,IN,33,1 to 2
2022-07-25,2022-07-25 23 17 12,Iowa,IA,7,1 to 2
2022-07-25,2022-07-25 23 17 12,Kansas,KS,2,1 to 2
2022-07-25,2022-07-25 23 17 12,Kentucky,KY,4,1 to 2
2022-07-25,2022-07-25 23 17 12,Louisiana,LA,25,1 to 2
2022-07-25,2022-07-25 23 17 12,Maryland,MD,87,1 to 2
2022-07-25,2022-07-25 23 17 12,Massachusetts,MA,82,1 to 2
2022-07-25,2022-07-25 23 17 12,Michigan,MI,24,1 to 2
2022-07-25,2022-07-25 23 17 12,Minnesota,MN,20,1 to 2
2022-07-25,2022-07-25 23 17 12,Mississippi,MS,1,1 to 2
2022-07-25,2022-07-25 23 17 12,Missouri,MO,8,1 to 2
2022-07-25,2022-07-25 23 17 12,Nebraska,NE,5,1 to 2
2022-07-25,2022-07-25 23 17 12,Nevada,NV,11,1 to 2
2022-07-25,2022-07-25 23 17 12,New Hampshire,NH,6,1 to 2
2022-07-25,2022-07-25 23 17 12,New Jersey,NJ,81,1 to 2
2022-07-25,2022-07-25 23 17 12,New Mexico,NM,7,1 to 2
2022-07-25,2022-07-25 23 17 12,New York,NY,990,1 to 2
2022-07-25,2022-07-25 23 17 12,North Carolina,NC,34,1 to 2
2022-07-25,2022-07-25 23 17 12,North Dakota,ND,1,1 to 2
2022-07-25,2022-07-25 23 17 12,Ohio,OH,15,1 to 2
2022-07-25,2022-07-25 23 17 12,Oklahoma,OK,4,1 to 2
2022-07-25,2022-07-25 23 17 12,Oregon,OR,40,1 to 2
